name,alelle,color,GM,CHR,SCAFF_ID,H_START,H_END
PM0417,0,#0826EB,0,10,0,1553205,1553349
solcap_stsnp_c1_305,0,#2EFF5C,2.595,10,0,339062,339062
652699,0,#ff6500,3.01,10,0,341492,341892
539370,0,#ff6500,3.01,10,0,341492,341892
650911,0,#ff6500,3.01,10,0,341492,341892
652185,0,#ff6500,3.01,10,0,341492,341892
654733,0,#ff6500,3.537,10,0,341492,341892
MICRO.2880.C1_913,0,#642020,3.784,10,0,695877,695997
st_15123,0,#FF2EF14,4.183,10,0,980326,980527
472610,0,#ff6500,4.383,10,0,725997,726214
650953,0,#ff6500,4.383,10,0,725997,726214
solcap_stsnp_c1_261,0,#2EFF5C,6.575,10,0,1699433,1699433
537963,0,#ff6500,7.569,10,0,2134921,2135409
473086,0,#ff6500,7.58,10,0,2134922,2135211
539897,0,#ff6500,7.6,10,0,2134921,2135409
653123,0,#ff6500,7.609,10,0,2134921,2135409
653521,0,#ff6500,7.609,10,0,2134921,2135408
540164,0,#ff6500,7.609,10,0,2134928,2135409
552086,0,#ff6500,7.609,10,0,2134921,2135409
653829,0,#ff6500,7.609,10,0,2134921,2135409
656726,0,#ff6500,7.609,10,0,2134921,2135408
533816,0,#ff6500,7.657,10,0,2134921,2135409
537357,0,#ff6500,7.657,10,0,2134921,2135409
552624,0,#ff6500,7.657,10,0,2134921,2135409
539398,0,#ff6500,7.657,10,0,2134921,2135409
456962,0,#ff6500,7.657,10,0,2134921,2135409
540171,0,#ff6500,7.657,10,0,2134921,2135409
559414,0,#ff6500,7.657,10,0,2134921,2135409
552651,0,#ff6500,7.657,10,0,2134921,2135409
535657,0,#ff6500,7.657,10,0,2134921,2135409
655039,0,#ff6500,7.657,10,0,2134921,2135409
534244,0,#ff6500,7.657,10,0,2134921,2135409
470811,0,#ff6500,7.657,10,0,30812055,30812528
456767,0,#ff6500,7.902,10,0,1024740,1025488
solcap_stsnp_c1_289,0,#2EFF5C,8.962,10,0,2468562,2468562
solcap_stsnp_c1_272,0,#2EFF5C,9.56,10,0,1922202,1922202
456590,0,#ff6500,10.322,10,0,2483523,2484870
650738,0,#ff6500,12.432,10,0,55195486,55196069
652758,0,#ff6500,12.432,10,0,3320902,3321306
457178,0,#ff6500,12.432,10,0,3320902,3321479
652869,0,#ff6500,12.432,10,0,3320902,3321306
533808,0,#ff6500,12.432,10,0,3320902,3321306
toPt-439062,0,#ff6500,12.489,10,0,3320902,3321306
472889,0,#ff6500,12.624,10,0,3320902,3321306
652078,0,#ff6500,12.624,10,0,3320902,3321306
473652,0,#ff6500,14.581,10,0,4448569,4449062
657368,0,#ff6500,14.608,10,0,4448569,4449062
473173,0,#ff6500,18.531,10,0,23467781,23468618
PM1302,0,#0826EB,18.998,10,0,24559355,24559501
656604,0,#ff6500,19.247,10,0,23467781,23468619
STM0051,0,#FF2EF27,19.435,10,0,23484569,23484685
solcap_stsnp_c1_1,0,#2EFF5C,20.137,10,0,33993379,33993379
PM1355,0,#0826EB,20.595,10,0,10064256,10064418
535392,0,#ff6500,20.867,10,0,8237167,8237756
471470,0,#ff6500,21.197,10,0,27039596,27040187
538467,0,#ff6500,21.197,10,0,27039153,27039606
533932,0,#ff6500,21.197,10,0,27039153,27040187
471094,0,#ff6500,21.197,10,0,27039596,27040187
solcap_stsnp_c1_5,0,#2EFF5C,21.352,10,0,32869283,32869283
PM1358,0,#0826EB,21.796,10,0,34634281,34634425
PM0126,0,#0826EB,21.884,10,0,38202603,38202737
solcap_stsnp_c1_14047,0,#2EFF5C,22.556,10,0,20040041,20040041
solcap_stsnp_c1_3055,0,#2EFF5C,23.048,10,0,29814382,29814382
solcap_stsnp_c1_7,0,#2EFF5C,23.528,10,0,32251718,32251718
solcap_stsnp_c1_3057,0,#2EFF5C,25.672,10,0,28438797,28438797
559154,0,#ff6500,25.944,10,0,8393813,8394405
PM1337,0,#0826EB,26.215,10,0,43480126,43480323
solcap_stsnp_c1_14465,0,#2EFF5C,26.604,10,0,45347792,45347792
solcap_stsnp_c1_11408,0,#2EFF5C,26.728,10,0,43758532,43758532
solcap_stsnp_c1_12035,0,#2EFF5C,27.672,10,0,45888736,45888736
toPt-440832,0,#ff6500,34.53,10,0,48147586,48148247
539063,0,#ff6500,34.53,10,0,48147586,48148378
