name,alelle,color,GM,CHR,SCAFF_ID,H_START,H_END
AA,1,#FFFF17,0,2,0,0,0
AB,1,#FFFF18,2.56,1,0,16194227,16194621
AC,3,#2E2EFE,2.56,2,0,16194227,16194621
437033,2,#00FF54,3.92,3,0,11209859,11210342
437877,2,#00FF55,4.06,4,0,11209859,11210342
439071,2,#00FF56,4.53,5,0,11209859,11210342
470742,1,#FFFF19,6.36,6,0,0,0
470742,4,#FE2E2E,6.36,7,0,0,0
473085,3,#2E2EFE,6.98,8,0,0,0
473085,1,#FFFF20,6.98,9,0,0,0
655403,2,#00FF57,15.19,10,0,17707452,17707791
655403,4,#FE2E2E,15.19,11,0,17707452,17707791
651282,3,#2E2EFE,18.17,12,0,0,0
439642,3,#2E2EFE,25.73,1,0,0,0
538359,3,#2E2EFE,27.96,2,0,0,0
538359,2,#00FF58,27.96,3,0,0,0
457258,3,#2E2EFE,30.8,4,0,0,0
457258,1,#FFFF21,30.8,5,0,0,0
535521,1,#FFFF22,32.59,6,0,20815958,20816592
439619,4,#FE2E2E,33.21,7,0,0,0
439619,2,#00FF59,33.21,8,0,0,0
538679,3,#2E2EFE,43.27,9,0,28669045,28669664
459328,1,#FFFF23,44.42,10,0,0,0
656138,1,#FFFF24,45.46,11,0,0,0
ca674586,2,#00FF60,46.61,12,0,0,0
STG0033,2,#00FF61,47.6,1,0,0,0
558941,3,#2E2EFE,49.69,2,0,0,0
652040,4,#FE2E2E,50.23,3,0,0,0
652040,2,#00FF62,50.23,4,0,0,0
657053,2,#00FF63,50.61,5,0,28742026,28743315
657053,3,#2E2EFE,50.61,6,0,28742026,28743315
649981,2,#00FF64,50.84,7,0,0,0
537683,3,#2E2EFE,51.89,8,0,30442179,30443198
537683,2,#00FF65,51.89,9,0,30442179,30443198
540267,2,#00FF66,53.62,10,0,32683809,32684210
540267,1,#FFFF25,53.62,11,0,32683809,32684210
534377,4,#FE2E2E,57.05,12,0,0,0
534377,1,#FFFF26,57.05,1,0,0,0
458471,1,#FFFF27,57.26,2,0,31057039,31058057
458471,4,#FE2E2E,57.26,3,0,31057039,31058057
472681,1,#FFFF28,57.56,4,0,0,0
472681,4,#FE2E2E,57.56,5,0,0,0
656219,2,#00FF67,58.18,6,0,0,0
559162,2,#00FF68,58.37,7,0,0,0
STI0036,2,#00FF69,60.46,8,0,31851231,31851359
458525,1,#FFFF29,63.27,9,0,31807610,31808349
STM2022,2,#00FF70,64.48,10,0,0,0
539364,2,#00FF71,67.66,11,0,0,0
539364,1,#FFFF30,67.66,12,0,0,0
459368,4,#FE2E2E,68.86,1,0,0,0
459368,3,#2E2EFE,68.86,2,0,0,0
470960,1,#FFFF31,72.21,3,0,34719310,34720242
651691,2,#00FF72,75.87,4,0,0,0
650922,2,#00FF73,77.72,5,0,0,0
650922,4,#FE2E2E,77.72,6,0,0,0
538916,1,#FFFF32,79.21,7,0,40690137,40690908
STG0006,1,#FFFF33,82.81,8,0,0,0
STG0006,3,#2E2EFE,82.81,9,0,0,0
649992,1,#FFFF34,83.25,10,0,0,0
649992,3,#2E2EFE,83.25,11,0,0,0
ca674242,2,#00FF74,84.14,12,0,0,0
ca674242,4,#FE2E2E,84.14,1,0,0,0
458627,1,#FFFF35,88.25,2,0,43692608,43693425
458627,3,#2E2EFE,88.25,3,0,43692608,43693425
654471,3,#2E2EFE,89.93,4,0,43130343,43131040
538350,1,#FFFF36,91.38,5,0,0,0
470764,4,#FE2E2E,94.83,6,0,0,0
470764,1,#FFFF37,94.83,7,0,0,0
657358,4,#FE2E2E,96.17,8,0,0,0
657358,1,#FFFF38,96.17,9,0,0,0
STI0024,2,#00FF75,99.52,10,0,0,0
STI0024,4,#FE2E2E,99.52,11,0,0,0
STI0024,3,#2E2EFE,99.52,12,0,0,0
STI0024,1,#FFFF39,99.52,2,0,0,0
656117,2,#00FF76,103.71,2,0,44346532,44346959
656117,4,#FE2E2E,103.71,2,0,44346532,44346959
